"","L61","L62","L63","L64","L65","L66","L67","L68","L69","L70","L71","L72","L73","L74","L75","L76","L77","L78","L79","L80","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20"
"Linezolid","54819794.33","61302111.28","56851170.02","46054936.68","58055729.19","61209080.65","46355428.87","58573942.49","45956530.16","36412542.59","42222815.12","57022460.86","56899846.77","60139582.4","64807730.09","61700944.21","65889914.38","67635495.7","62738604.84","66888929.45","54857707.23","39316026.66","41874003.5","60381707.48","58242610.68","47294169.02","38648761.86","44228824.29","52799941.36","63481175.4","61118253.11","61842349.42","51301737.97","70811115.4","49559584.28","46729263.26","54756760.76","65247674.18","57163121.49","109355851.6"
"3,3'-Dimethoxybenzidine","29631749.88","48877387.81","73981778.58","74025326.37","70450638.74","41619154.83","55033334","65295088.81","71221152.41","55571873.27","56760612.83","64038127.35","3427046.349","82845159.8","61752226.3","68181090.49","53992199.97","58576260.03","59752036.74","44391221.05","45106869.38","47786985.85","36932900.41","24304477","39354880.18","33847557.42","39806955.4","32305577.48","37497472.14","30576696.1","27413452.83","21107483.71","30165045.61","19743554.52","22782743.57","26210585","17160116.25","26741457.34","19014018.6","17325703.07"
"Piperidine","609422858.8","587734076.6","678657546.8","1006890792","645713406.7","779267958.4","1139574859","294891437.4","584133126.9","687552579.1","624200296.5","832707288.5","734521491.5","694368502.3","644470950.2","918475311.8","874650176.2","686250983.4","870942882.9","938531443.1","949069433.9","220074907.8","693123539.1","724738078.4","861861251.3","577032603","871370907.6","271709797.3","584995144","397956911.6","825149663","269417203.1","661532325.8","750711698.9","978161709.6","1169190686","954411837.6","798344222.5","658687860.9","1935656334"
"Fomepizole","19613679.29","54566957.01","82617481.48","126097200.7","169129990.2","108824881.3","44778067.8","107565883.9","82935979.88","103970333.4","368851745.9","95356486.35","374611623.2","81525478.84","107806400.8","85605094.56","43339158.12","157657348.1","193938752.8","448313538.8","348691926.5","75053322.42","24227625.95","201604085.7","22280034.74","72056485.44","17521479.21","16388533.68","58762222.73","43747620.27","37017155.93","41406384.92","59521530.43","38957561.71","33836718.2","65664790.55","40177455.48","244110485.2","67155722.34","1802589071"
"Phosphorylcholine","169374163.1","172660511.3","150865540.7","120396157.2","148888542.3","152552149.5","93640781.25","125604558.2","129116678.7","81814364.25","80180923.37","73847404.11","113704268.9","84609574.39","82085612.67","74670712.91","48580810.47","62945702.24","57986525.33","53239445.52","68513705.3","68210554.82","44993072.71","49353257.99","54429630","40478503.83","38246726.2","40258095.13","42772350.05","27666535.08","19566691.21","36353038.93","47451669.9","30231729.08","14387584.48","8345173.291","12752363.54","44620142.75","36483332.07","16762316.95"
"(E)-3-(4-Hydroxyphenyl)-2-propenal","100082544.4","154592650.3","161097888.5","152721690.4","148923987.5","66366531.9","97161579.28","135831489.2","60448504.4","90345746.54","72799486.13","91181628.74","99229486.09","158059249.2","89000430.13","82707931.69","75148919.82","134288693","88616793.16","76397656.93","104437488.6","118017903","76108739.56","104559482.7","110639820","83881002.25","142744253","99628899.41","174860669","178072404.5","200322689","204667057.1","116616283.8","175901142","157120661.7","153552797.8","167969842.3","150700077.1","165153294","106937502.3"
"Choline","1466189.729","46856177.62","16541906.71","14770220.3","35046194.28","134957502.8","26119762.09","150775645.8","147024990.8","83973202.4","39965536.71","31396545.44","37846853.11","66622700.83","105403736.9","46198326.27","33357386.25","114470918.7","83788519.87","20321530.27","30379458.17","48739053.86","3220033.295","21934338","3585765.493","16427188.72","1191137.88","3705239.742","4758747.779","581039.3127","3403741.645","2748174.902","6655592.084","1061295.788","3201119.648","1793571.681","5208973.749","3839860.846","5437920.779","4635564.304"
"Lenticin","12053000.63","52716036.52","47974356.12","23371168.7","89023943.34","41180994.53","44881760.38","19532852.47","43230933.71","58049185.64","42763087.83","46224411.27","16730165.44","15689446.53","9910754.909","18395509.94","13695226.39","11584426.57","12173495.37","17616951.34","39403702.01","113837429.3","77914448.14","3099441.285","69440083.2","124194973.1","6859619.848","82976259.5","9579128.566","9457737.283","39534260.74","7783748.633","14642915.45","8354138.814","16656430.02","78937010.7","1013845.53","1467028.857","29246555.01","2749342.38"
"Mupirocin","16175664.93","4525626.314","9261799.669","4538634.029","18221974.81","20831683.73","26471965.53","19456803.76","20739052.49","18544265.3","20681040.94","25690072.43","4994907.777","26989646.43","18110781.86","35842461.65","25313640.19","25437578.27","43729362.06","24774478.18","79793342.87","92775918.31","26538879.93","22141868.35","101351468","87551640.54","75907692.71","87546519.8","76581545.21","96417636.38","92670062.56","55895650.41","54586312.18","55810195.48","42906527.66","17387114.51","55856180.23","46307813.35","12774303.52","16915200.89"
"Indoleacetaldehyde","82313175.64","90000231.55","87332255.87","65303591.88","102007574.8","51571151.82","56423858.23","62690817.64","47291808.01","23659061.98","94270888.4","41420531.45","44093767.66","42269947.12","41026201.23","85475956.51","49974125.52","62600914.41","29887716.83","55462241.4","56300531.4","43345097.36","93677837.98","17233257.64","30595204.07","83743591.84","42214047.44","34316633.67","26416870.83","22234205.73","27796767.44","24237697.5","44296772.23","34349631.17","28269483.97","25256171.95","38751601.3","30953203.19","23883274.48","41588084.02"
"Gein","24292119.98","29833216.62","20195608.49","32524771.65","30010815.04","16692943.25","25050031.65","18852040.91","23447671.23","18852629.39","11099063.48","24681844.57","17051815.97","30301551.23","17974395.04","17824057.38","18473087.17","21835034.69","20927445.75","10626932.98","13398037.76","13779770.99","5968842.982","17599366.79","21659680.31","7780855.863","17870972.33","17307902.29","15117080.04","28544749.8","16530649.97","8832739.831","12776337.72","16467846.43","12364052","18378839.87","11357279.49","1331337.838","17121783.28","293772448.3"
"D-Glycero-D-galacto-heptitol","831651.7916","718462.4079","491539.2711","530921.531","774244.8235","1268155.033","577993.2456","451888.5663","409395.2588","615582.6621","762159.2197","1159012.703","2713333.237","1869655.802","1006398.596","16786582.9","2004816.33","1200182.125","2470611.354","2005209.813","6191372.893","6731477.408","11676405.51","28996382.35","22693872.56","1226863.256","19811546.34","22528133.66","10488854.35","11547924.68","21103153.54","15061791.81","7695823.496","22030691.45","21260632.62","20867601.97","20007420.19","11858330.75","15368239.95","37080965.68"
"Thymine","7402070.286","8058588.735","7796415.2","8252456.308","7170962.792","7001102.709","7202046.613","8095730.837","10176855.88","6821231.814","8538078.375","8496141.053","7492505.31","7998320.197","8454444.054","8173649.187","6882680.445","8592721.849","8103662.531","7474250.748","11302953.66","12439740.09","14543518","14696972.77","15701494.86","18909320.15","20269513.8","22471608.29","25967107.53","24889283.66","34741838.97","35469689.38","40397557.85","36833952.22","105305987.4","33826114.28","27216578.1","21614332.41","15504018.34","2650365.122"
"Betonicine","25272575.02","5161080.448","12679660.23","7010951.824","213511562.3","12419632.29","6297148.142","2850649.429","1826799.432","5158406.741","4163115.328","10677173.91","13495094.5","1562340.565","5551343.721","8587166.594","5799220.292","2385482.374","7672175.455","7240674.942","18910340.33","6895116.66","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582","1046.65582"
"Guanine","11699244.89","33842141.81","30391372.31","9213343.308","25438648.09","20185185.63","11156089.8","2728725.525","9850418.073","6296844.188","4294541.103","4101746.516","28629541.3","6056556.36","7294519.601","2481786.569","18940019.03","33937593.1","3019874.713","47319826.41","1806403.471","1530267.261","1397996.417","1788838.147","1726556.463","1684007.766","1810298.554","1637411.486","1730460.859","1855505.463","1597992.711","1812556.86","1994996.411","2036125.231","2358696.297","1928940.087","1805722.958","1724923.74","1468197.725","945006.266"
"Isoxaben","85523782.86","123221708.2","110298623.8","118748527","136222747.5","74834899.41","118710563.3","99007333.14","123276413.2","89121063.53","102773170.5","126864226.7","137834611.6","146971675.6","103808250.8","117308391.1","103835122.9","123553519.3","103843559.6","88548300.97","54793034.14","100667876.6","54113371.25","75203171.07","91304351.88","37976581.18","48523572.82","95019602.1","68535062.87","131643638.1","82578434.07","67591279.63","68721043.62","118965161.4","44823393.48","98627043.66","58365329.73","72471245.13","51729403.98","121071170.8"
"Diethylphosphoric acid","91001333.34","18058881.92","34861880.19","53417281.23","15343425.22","32112415.79","8191447.258","6122272.027","87822891.22","52030716.88","16283155.16","44994371.41","48254516.5","23533439.88","32067915.12","43053088.95","68060533.7","28058748.97","34802942.13","31642494.88","12843712.77","15447417.92","16803977.06","16767323.54","4681396.636","6256934.553","10393722.55","21197812.97","9954913.491","14944156.74","10212817.44","4765955.502","12662617.96","6934065.818","8120433.399","11183702.05","14992059.14","3918809.649","9696369.767","7226072.897"
"2-Naphthylamine","213879711.8","179071402.9","208682274.7","192404731.3","212094696","193301910.2","227288536.8","181061210.5","176449178.9","202119464.8","171768775","209385334.7","187698164.5","157146488.4","216708122.6","233984371.9","200996681.8","205658152","197731911.5","185163234.6","203429321.9","180162691.9","197465097.1","149769975.2","188576340.6","143125456.9","122972387.3","189363429.7","132595954.3","108541570.2","186985582.2","149608656.8","114828680.9","129816688","144050244.3","197638463.8","133771704.8","156282487.8","119161485.8","242952000.2"
"1,5-Naphthalenediamine","176318907.7","153091574.9","171333450.8","168294748.6","179829844.2","164711604.6","192308295.3","145351975.1","155395439.1","171614809.5","147339242.2","177396274.2","161676672.5","135208054.5","191300729.9","195814579.2","169661159.6","178224862.8","172577350.6","163437895","171084856.8","149909931.2","162799357.5","115584450.8","158934112.5","132250446","95500162.24","149414726.4","116429508.5","87635083.32","151126701.6","123461260.2","95941494.96","103584124.9","116858185.5","144944338.5","93268432.84","126319390.9","89927843.05","187060527.8"
"Diisobutyl phthalate","1475623336","45246967264","1046.65582","1530504697","1512729011","442488767.2","217459944.5","490377776.9","347016557.7","207808466.4","250128204.4","229576516","167386083.4","192464822.8","133486013.4","102084177","261860846.2","39261828.68","78324058.09","65088817.91","438796860.7","212938218.2","127572683.2","132625488.5","268368167.5","220378089.6","352259462.2","510293921.3","208676582.3","124909160.1","215993050.1","284561664.2","113201425.1","294832855.6","105464812.4","165587502.4","92176957.94","174156275.1","120441841.6","129958099.7"
"4-Chloro-17alpha-methyl-17beta-hydroxy-4-androsten-3-one","80117865.61","113125472.5","81927155.77","101538872.1","124720159","77650879.04","127845923.2","83685940.33","101831750.1","80346560.33","74841811.85","107683035.7","107340388.5","105391317.9","78907662.49","94793722.75","79401793.31","92075934.39","81560781.58","73925933.1","32273817.81","62904369","36663225.51","46470699.89","48132886.66","27395589.53","32035850.79","55071661.86","34007317.61","76796078.6","47953921.11","38472561.72","36198249.85","58366027.86","27442089.35","65165655.16","37666473.04","48066518.61","36223380.8","126362351.4"
"L-Methionine S-oxide","40446096.63","44537020.66","57748070.14","62280467.02","78860815.09","74072434.51","37969013.29","34076339.47","54805256.43","69219635.37","36856487.98","65567343.83","73848558.12","40052148.25","47930961.38","67618778.51","54875730.61","33617009.11","60709981.03","68206625.25","39547438.07","55808277.52","28406272.73","26872750.47","28673363.35","3335431.261","27316192.08","29370853.62","15736456.92","24300255.13","19538958.51","22790656.71","12711152.07","15802457.02","17184334.9","17425153.03","19642361.63","17074428.82","12678217.62","14075409.81"
"Indole-3-acetate","77147440.66","32322485.76","34813378.81","32935702.7","73538861.63","32020382.69","46745397.43","21381093.33","29995547.08","18928112.12","31419740.61","35717078.84","36546242.97","58903145.28","37437451.92","41212845.85","24533084.58","23946880.07","17746776.21","18665745.18","51187994.79","47489799.07","38210392.98","30074881.57","39893487.95","48390965.27","11616048.98","59906430.09","23760233","12760677.52","39733470.7","29265911.02","42375774.77","26624433.2","28105366.7","34044202.93","25555777.66","21041093.41","19421866.01","22416847.32"
"Diosgenin","5890906.64","4293692.72","2960668.326","8558483.885","4565227.999","8412905.992","4469325.03","827438.799","2967489.565","1266811.516","1740901.416","3450323.55","6682153.774","4860052.327","519981.4918","4818189.35","6549672.553","9163968.331","17269744.01","5277104.418","608008.965","5924480.236","2442897.626","587396.747","4323248.023","1360835.488","2924467.116","5802501.444","18104713.31","3027628.991","3881954.543","29012414.18","4484967.309","2303045.347","9131143.023","15319009.36","8781579.391","174847.5848","98587.28453","773583.9979"
